lang,n_samples,accuracy,estimate_method,iter,diff
dutch,20,0.38210767,irt,5,0.006823363707354091
german,50,0.38514020000000004,irt,6,0.0015162424564064136
spanish,10,0.57088703,irt,7,0.025018948119787665
italian,100,0.5064442,irt,4,0.04018188006065204
german,50,0.2789992,irt,7,0.10462475754359363
italian,15,0.43214556000000004,irt,1,0.03411675993934793
german,50,0.34192565,irt,8,0.041698307543593605
spanish,10,0.5216072700000001,irt,6,0.02426081188021223
italian,30,0.42153146999999996,irt,3,0.044730849939348005
german,50,0.33813492,irt,9,0.045489037543593625
italian,100,0.3836238999999999,irt,5,0.08263841993934806
spanish,30,0.46626232,irt,5,0.07960576188021229
german,100,0.4215314,irt,0,0.03790744245640637
spanish,10,0.38741471,irt,5,0.1584533718802123
german,10,0.38286581,irt,3,0.0007581475435936569
german,100,0.33131154999999995,irt,1,0.052312407543593675
spanish,50,0.55724026,irt,7,0.011372178119787746
german,10,0.43896892,irt,4,0.055344962456406355
german,50,0.33206970999999996,irt,5,0.05155424754359367
italian,100,0.43138734999999995,irt,3,0.03487496993934802
italian,30,0.4973464700000001,irt,4,0.031084150060652127
german,30,0.42153146,irt,9,0.037907502456406394
spanish,15,0.6118271500000001,irt,1,0.0659590681197878
italian,100,0.4761182,irt,1,0.009855880060652022
german,50,0.39651245,irt,0,0.012888492456406386
italian,15,0.26686884,irt,0,0.19939347993934797
german,50,0.43593625,irt,1,0.052312292456406395
spanish,10,0.51023502,irt,4,0.03563306188021231
spanish,15,0.45489007000000004,irt,0,0.09097801188021226
german,50,0.34571640000000003,irt,2,0.037907557543593595
italian,100,0.49431379999999997,irt,2,0.028051480060652
spanish,30,0.43138740999999997,irt,4,0.11448067188021233
german,50,0.40561025,irt,3,0.021986292456406376
spanish,10,0.42532222000000003,irt,9,0.12054586188021227
german,50,0.48900675,irt,4,0.10538279245640636
spanish,10,0.30932524,irt,8,0.2365428418802123
german,10,0.43214557,irt,5,0.04852161245640635
german,100,0.37755869999999997,irt,2,0.006065257543593661
italian,100,0.4897649,irt,6,0.023502580060652034
italian,15,0.42228961000000004,irt,2,0.04397270993934793
german,10,0.6307809,irt,1,0.24715694245640635
dutch,100,0.45792260000000007,irt,9,0.08263829370735415
romanian,10,0.14329037,irt,1,0.24033358754359363
dutch,10,0.24943138,irt,0,0.1258529262926459
romanian,10,0.12812737000000002,irt,2,0.2554965875435936
italian,30,0.45261562,irt,1,0.013646699939347973
dutch,100,0.4518574,irt,8,0.0765730937073541
romanian,10,0.2964367,irt,0,0.08718725754359363
romanian,10,0.21834723,irt,3,0.16527672754359363
dutch,10,0.33434420000000004,irt,1,0.040940106292645884
italian,30,0.24867323000000002,irt,8,0.21758908993934795
italian,15,0.54738438,irt,4,0.08112206006065203
dutch,100,0.39499615,irt,7,0.01971184370735407
romanian,10,0.19484458,irt,5,0.18877937754359364
dutch,100,0.3760424,irt,6,0.0007580937073540794
romanian,10,0.17513267,irt,6,0.20849128754359364
german,10,0.51023503,irt,0,0.1266110724564064
german,30,0.43593631999999993,irt,8,0.0523123624564063
spanish,30,0.5413191700000001,irt,7,0.004548911880212225
german,100,0.36770274999999997,irt,9,0.015921207543593663
german,100,0.42835475,irt,3,0.044730792456406376
spanish,10,0.49507203,irt,3,0.0507960518802123
german,100,0.41849879999999995,irt,4,0.03487484245640632
italian,100,0.41015915000000003,irt,7,0.05610316993934794
italian,30,0.41698256,irt,2,0.04927975993934797
german,100,0.41470805,irt,5,0.031084092456406365
german,10,0.44200151000000004,irt,2,0.05837755245640641
italian,100,0.39423800000000003,irt,9,0.07202431993934794
spanish,10,0.10462472,irt,2,0.4412433618802123
spanish,30,0.5299469400000001,irt,6,0.01592114188021221
italian,100,0.42304769999999997,irt,8,0.043214619939348
german,100,0.44806664999999996,irt,7,0.06444269245640633
spanish,10,0.22517059,irt,1,0.3206974918802123
german,100,0.4715693,irt,8,0.0879453424564064
italian,15,0.55724033,irt,3,0.09097801006065198
spanish,10,0.37528430999999995,irt,0,0.17058377188021234
german,100,0.33131155,irt,6,0.05231240754359362
dutch,10,0.20621683,irt,2,0.16906747629264593
italian,100,0.36315385,irt,0,0.10310846993934797
german,30,0.21076574,irt,7,0.17285821754359362
italian,50,0.38362392000000006,irt,1,0.0826383999393479
