merge,n_samples,accuracy,estimate_method,iter,diff
arithmo_meta_slerp,10,0.7,random,0,0.012661106899166108
arithmo_meta_slerp,10,0.9,random,1,0.18733889310083396
arithmo_meta_slerp,10,0.8,random,2,0.08733889310083398
arithmo_meta_slerp,10,0.6,random,3,0.11266110689916609
arithmo_meta_slerp,10,0.6,random,4,0.11266110689916609
arithmo_meta_slerp,10,0.6,random,5,0.11266110689916609
arithmo_meta_slerp,10,0.7,random,6,0.012661106899166108
arithmo_meta_slerp,10,0.4,random,7,0.31266110689916604
arithmo_meta_slerp,10,0.9,random,8,0.18733889310083396
arithmo_meta_slerp,10,0.8,random,9,0.08733889310083398
arithmo_meta_slerp,15,0.5333333333333333,random,0,0.17932777356583274
arithmo_meta_slerp,15,0.8666666666666667,random,1,0.15400555976750063
arithmo_meta_slerp,15,0.8,random,2,0.08733889310083398
arithmo_meta_slerp,15,0.6,random,3,0.11266110689916609
arithmo_meta_slerp,15,0.7333333333333333,random,4,0.020672226434167218
arithmo_meta_slerp,15,0.6,random,5,0.11266110689916609
arithmo_meta_slerp,15,0.6,random,6,0.11266110689916609
arithmo_meta_slerp,15,0.4,random,7,0.31266110689916604
arithmo_meta_slerp,15,0.6666666666666666,random,8,0.045994440232499434
arithmo_meta_slerp,15,0.7333333333333333,random,9,0.020672226434167218
arithmo_meta_slerp,20,0.5,random,0,0.21266110689916606
arithmo_meta_slerp,20,0.85,random,1,0.13733889310083391
arithmo_meta_slerp,20,0.75,random,2,0.037338893100833936
arithmo_meta_slerp,20,0.6,random,3,0.11266110689916609
arithmo_meta_slerp,20,0.75,random,4,0.037338893100833936
arithmo_meta_slerp,20,0.55,random,5,0.16266110689916602
arithmo_meta_slerp,20,0.65,random,6,0.06266110689916604
arithmo_meta_slerp,20,0.55,random,7,0.16266110689916602
arithmo_meta_slerp,20,0.7,random,8,0.012661106899166108
arithmo_meta_slerp,20,0.6,random,9,0.11266110689916609
arithmo_meta_slerp,30,0.6,random,0,0.11266110689916609
arithmo_meta_slerp,30,0.8333333333333334,random,1,0.1206722264341673
arithmo_meta_slerp,30,0.7333333333333333,random,2,0.020672226434167218
arithmo_meta_slerp,30,0.6333333333333333,random,3,0.07932777356583276
arithmo_meta_slerp,30,0.7,random,4,0.012661106899166108
arithmo_meta_slerp,30,0.6,random,5,0.11266110689916609
arithmo_meta_slerp,30,0.7333333333333333,random,6,0.020672226434167218
arithmo_meta_slerp,30,0.5666666666666667,random,7,0.1459944402324994
arithmo_meta_slerp,30,0.7333333333333333,random,8,0.020672226434167218
arithmo_meta_slerp,30,0.6,random,9,0.11266110689916609
arithmo_meta_slerp,50,0.7,random,0,0.012661106899166108
arithmo_meta_slerp,50,0.72,random,1,0.00733889310083391
arithmo_meta_slerp,50,0.68,random,2,0.032661106899166015
arithmo_meta_slerp,50,0.7,random,3,0.012661106899166108
arithmo_meta_slerp,50,0.72,random,4,0.00733889310083391
arithmo_meta_slerp,50,0.7,random,5,0.012661106899166108
arithmo_meta_slerp,50,0.76,random,6,0.047338893100833945
arithmo_meta_slerp,50,0.62,random,7,0.09266110689916607
arithmo_meta_slerp,50,0.76,random,8,0.047338893100833945
arithmo_meta_slerp,50,0.66,random,9,0.05266110689916603
arithmo_meta_slerp,100,0.72,random,0,0.00733889310083391
arithmo_meta_slerp,100,0.71,random,1,0.002661106899166099
arithmo_meta_slerp,100,0.71,random,2,0.002661106899166099
arithmo_meta_slerp,100,0.72,random,3,0.00733889310083391
arithmo_meta_slerp,100,0.68,random,4,0.032661106899166015
arithmo_meta_slerp,100,0.66,random,5,0.05266110689916603
arithmo_meta_slerp,100,0.74,random,6,0.027338893100833928
arithmo_meta_slerp,100,0.72,random,7,0.00733889310083391
arithmo_meta_slerp,100,0.73,random,8,0.01733889310083392
arithmo_meta_slerp,100,0.7,random,9,0.012661106899166108
ninja_meta_linear,10,0.5,random,0,0.1633813495072024
ninja_meta_linear,10,0.5,random,1,0.1633813495072024
ninja_meta_linear,10,0.6,random,2,0.06338134950720242
ninja_meta_linear,10,0.8,random,3,0.13661865049279764
ninja_meta_linear,10,0.7,random,4,0.036618650492797555
ninja_meta_linear,10,0.6,random,5,0.06338134950720242
ninja_meta_linear,10,0.5,random,6,0.1633813495072024
ninja_meta_linear,10,0.6,random,7,0.06338134950720242
ninja_meta_linear,10,0.8,random,8,0.13661865049279764
ninja_meta_linear,10,0.7,random,9,0.036618650492797555
ninja_meta_linear,15,0.4666666666666667,random,0,0.19671468284053573
ninja_meta_linear,15,0.6,random,1,0.06338134950720242
ninja_meta_linear,15,0.6666666666666666,random,2,0.0032853171594642294
ninja_meta_linear,15,0.7333333333333333,random,3,0.06995198382613088
ninja_meta_linear,15,0.8,random,4,0.13661865049279764
ninja_meta_linear,15,0.6,random,5,0.06338134950720242
ninja_meta_linear,15,0.5333333333333333,random,6,0.13004801617386907
ninja_meta_linear,15,0.5333333333333333,random,7,0.13004801617386907
ninja_meta_linear,15,0.6666666666666666,random,8,0.0032853171594642294
ninja_meta_linear,15,0.6,random,9,0.06338134950720242
ninja_meta_linear,20,0.4,random,0,0.2633813495072024
ninja_meta_linear,20,0.7,random,1,0.036618650492797555
ninja_meta_linear,20,0.7,random,2,0.036618650492797555
ninja_meta_linear,20,0.7,random,3,0.036618650492797555
ninja_meta_linear,20,0.8,random,4,0.13661865049279764
ninja_meta_linear,20,0.55,random,5,0.11338134950720236
ninja_meta_linear,20,0.55,random,6,0.11338134950720236
ninja_meta_linear,20,0.55,random,7,0.11338134950720236
ninja_meta_linear,20,0.65,random,8,0.013381349507202378
ninja_meta_linear,20,0.55,random,9,0.11338134950720236
ninja_meta_linear,30,0.5666666666666667,random,0,0.09671468284053575
ninja_meta_linear,30,0.7,random,1,0.036618650492797555
ninja_meta_linear,30,0.7,random,2,0.036618650492797555
ninja_meta_linear,30,0.6333333333333333,random,3,0.030048016173869097
ninja_meta_linear,30,0.7333333333333333,random,4,0.06995198382613088
ninja_meta_linear,30,0.6333333333333333,random,5,0.030048016173869097
ninja_meta_linear,30,0.6333333333333333,random,6,0.030048016173869097
ninja_meta_linear,30,0.6,random,7,0.06338134950720242
ninja_meta_linear,30,0.7333333333333333,random,8,0.06995198382613088
ninja_meta_linear,30,0.6,random,9,0.06338134950720242
ninja_meta_linear,50,0.6,random,0,0.06338134950720242
ninja_meta_linear,50,0.64,random,1,0.023381349507202387
ninja_meta_linear,50,0.66,random,2,0.003381349507202369
ninja_meta_linear,50,0.7,random,3,0.036618650492797555
ninja_meta_linear,50,0.66,random,4,0.003381349507202369
ninja_meta_linear,50,0.7,random,5,0.036618650492797555
ninja_meta_linear,50,0.58,random,6,0.08338134950720244
ninja_meta_linear,50,0.6,random,7,0.06338134950720242
ninja_meta_linear,50,0.74,random,8,0.07661865049279759
ninja_meta_linear,50,0.66,random,9,0.003381349507202369
ninja_meta_linear,100,0.63,random,0,0.033381349507202396
ninja_meta_linear,100,0.63,random,1,0.033381349507202396
ninja_meta_linear,100,0.65,random,2,0.013381349507202378
ninja_meta_linear,100,0.75,random,3,0.0866186504927976
ninja_meta_linear,100,0.62,random,4,0.043381349507202405
ninja_meta_linear,100,0.68,random,5,0.01661865049279765
ninja_meta_linear,100,0.66,random,6,0.003381349507202369
ninja_meta_linear,100,0.65,random,7,0.013381349507202378
ninja_meta_linear,100,0.73,random,8,0.06661865049279758
ninja_meta_linear,100,0.7,random,9,0.036618650492797555
wizard_meta_slerp,10,0.4,random,0,0.34981046247156933
wizard_meta_slerp,10,0.9,random,1,0.15018953752843067
wizard_meta_slerp,10,0.8,random,2,0.050189537528430694
wizard_meta_slerp,10,0.8,random,3,0.050189537528430694
wizard_meta_slerp,10,1.0,random,4,0.25018953752843065
wizard_meta_slerp,10,0.6,random,5,0.14981046247156937
wizard_meta_slerp,10,0.7,random,6,0.049810462471569394
wizard_meta_slerp,10,0.6,random,7,0.14981046247156937
wizard_meta_slerp,10,0.9,random,8,0.15018953752843067
wizard_meta_slerp,10,0.7,random,9,0.049810462471569394
wizard_meta_slerp,15,0.4666666666666667,random,0,0.2831437958049027
wizard_meta_slerp,15,0.9333333333333333,random,1,0.183522870861764
wizard_meta_slerp,15,0.8,random,2,0.050189537528430694
wizard_meta_slerp,15,0.6666666666666666,random,3,0.08314379580490272
wizard_meta_slerp,15,0.8666666666666667,random,4,0.11685620419509735
wizard_meta_slerp,15,0.6666666666666666,random,5,0.08314379580490272
wizard_meta_slerp,15,0.6666666666666666,random,6,0.08314379580490272
wizard_meta_slerp,15,0.5333333333333333,random,7,0.21647712913823602
wizard_meta_slerp,15,0.7333333333333333,random,8,0.01647712913823607
wizard_meta_slerp,15,0.6666666666666666,random,9,0.08314379580490272
wizard_meta_slerp,20,0.45,random,0,0.29981046247156934
wizard_meta_slerp,20,0.9,random,1,0.15018953752843067
wizard_meta_slerp,20,0.8,random,2,0.050189537528430694
wizard_meta_slerp,20,0.6,random,3,0.14981046247156937
wizard_meta_slerp,20,0.8,random,4,0.050189537528430694
wizard_meta_slerp,20,0.65,random,5,0.09981046247156933
wizard_meta_slerp,20,0.7,random,6,0.049810462471569394
wizard_meta_slerp,20,0.6,random,7,0.14981046247156937
wizard_meta_slerp,20,0.7,random,8,0.049810462471569394
wizard_meta_slerp,20,0.65,random,9,0.09981046247156933
