sampling_method,num_examples,accuracy_error,language
random,10,0.16046247156937077,italian
irt,10,0.13362395754359357,italian
anchor,10,0.15864291129643682,italian
random,10,0.13953752843062922,italian
irt,10,0.24848369977255494,italian
anchor,10,0.02028051554207727,italian
random,10,0.06046247156937079,italian
irt,10,0.16432903714935554,italian
anchor,10,0.06387414708112216,italian
random,10,0.06046247156937079,italian
irt,10,0.2052691432903715,italian
anchor,10,0.01573161485974217,italian
random,10,0.03953752843062919,italian
irt,10,0.2113343442001516,italian
anchor,10,0.013457164518574594,italian
random,10,0.06046247156937079,italian
irt,10,0.06463229719484453,italian
anchor,10,0.0957164518574678,italian
random,10,0.06046247156937079,italian
irt,10,0.20678544351781653,italian
anchor,10,0.1684988627748295,italian
random,10,0.03953752843062919,italian
irt,10,0.04529946929492046,italian
anchor,10,0.14651250947687655,italian
random,10,0.26046247156937075,italian
irt,10,0.12338893100833964,italian
anchor,10,0.038476118271417725,italian
random,10,0.16046247156937077,italian
irt,10,0.17191053828658076,italian
anchor,10,0.10102350265352544,italian
random,15,0.09379580490270412,italian
irt,15,0.12831690674753593,italian
anchor,15,0.0017058377558757387,italian
random,15,0.027129138236037464,italian
irt,15,0.2469673995451099,italian
anchor,15,0.01914329037149365,italian
random,15,0.027129138236037464,italian
irt,15,0.06614859742228962,italian
anchor,15,0.014594389689158493,italian
random,15,0.09379580490270412,italian
irt,15,0.13400303260045487,italian
anchor,15,0.05856709628506457,italian
random,15,0.09379580490270412,italian
irt,15,0.040371493555724,italian
anchor,15,0.019522365428354782,italian
random,15,0.03953752843062919,italian
irt,15,0.06652767247915081,italian
anchor,15,0.006633813495071916,italian
random,15,0.027129138236037464,italian
irt,15,0.020280515542077326,italian
anchor,15,0.030894617134192504,italian
random,15,0.1062041950972959,italian
irt,15,0.038476118271417725,italian
anchor,15,0.10178165276724804,italian
random,15,0.16046247156937077,italian
irt,15,0.12869598180439723,italian
anchor,15,0.1230098559514784,italian
random,15,0.16046247156937077,italian
irt,15,0.17342683851402574,italian
anchor,15,0.10784685367702807,italian
random,20,0.010462471569370801,italian
irt,20,0.002843062926459361,italian
anchor,20,0.010803639120545883,italian
random,20,0.11046247156937083,italian
irt,20,0.04643669446550419,italian
anchor,20,0.037338893100833936,italian
random,20,0.03953752843062919,italian
irt,20,0.09040940106141016,italian
anchor,20,0.1628127369219105,italian
random,20,0.06046247156937079,italian
irt,20,0.014594389689158493,italian
anchor,20,0.07373009855951485,italian
random,20,0.010462471569370801,italian
irt,20,0.060083396512509546,italian
anchor,20,0.07789992418498859,italian
random,20,0.03953752843062919,italian
irt,20,0.10860500379075055,italian
anchor,20,0.09609552691432899,italian
random,20,0.06046247156937079,italian
irt,20,0.05856709628506451,italian
anchor,20,0.010803639120545938,italian
random,20,0.010462471569370801,italian
irt,20,0.14310083396512507,italian
anchor,20,0.010803639120545938,italian
random,20,0.11046247156937083,italian
irt,20,0.140068233510235,italian
anchor,20,0.0017058377558756832,italian
random,20,0.06046247156937079,italian
irt,20,0.004359363153904505,italian
anchor,20,0.12338893100833959,italian
random,30,0.07287086176396257,italian
irt,30,0.14840788476118266,italian
anchor,30,0.015352539802881038,italian
random,30,0.06046247156937079,italian
irt,30,0.11618650492797566,italian
anchor,30,0.13059135708870362,italian
random,30,0.0062041950972958615,italian
irt,30,0.09723275208491278,italian
anchor,30,0.05742987111448061,italian
random,30,0.027129138236037464,italian
irt,30,0.014973464746019682,italian
anchor,30,0.09306292645943887,italian
random,30,0.0062041950972958615,italian
irt,30,0.0009476876421531943,italian
anchor,30,0.011940864291129616,italian
random,30,0.027129138236037464,italian
irt,30,0.09799090219863538,italian
anchor,30,0.007012888551933383,italian
random,30,0.1937958049027041,italian
irt,30,0.056671721000758124,italian
anchor,30,0.11580742987111448,italian
random,30,0.0062041950972958615,italian
irt,30,0.0775208491281274,italian
anchor,30,0.008150113722517005,italian
random,30,0.06046247156937079,italian
irt,30,0.019522365428354782,italian
anchor,30,0.04226686884003028,italian
random,30,0.027129138236037464,italian
irt,30,0.07183472327520846,italian
anchor,30,0.14689158453373763,italian
random,50,0.08046247156937081,italian
irt,50,0.0024639878695982276,italian
anchor,50,0.11391205458680831,italian
random,50,0.02046247156937081,italian
irt,50,0.10708870356330558,italian
anchor,50,0.03165276724791505,italian
random,50,0.04046247156937077,italian
irt,50,0.0676648976497346,italian
anchor,50,0.02937831690674747,italian
random,50,0.08046247156937081,italian
irt,50,0.12225170583775602,italian
anchor,50,0.09836997725549651,italian
random,50,0.0004624715693707926,italian
irt,50,0.11997725549658833,italian
anchor,50,0.10974222896133429,italian
random,50,0.08046247156937081,italian
irt,50,0.08244882486732374,italian
anchor,50,0.0627369219105382,italian
random,50,0.10046247156937083,italian
irt,50,0.019522365428354782,italian
anchor,50,0.010045489006823394,italian
random,50,0.0004624715693707926,italian
irt,50,0.06159969673995447,italian
anchor,50,0.05060652009097788,italian
random,50,0.04046247156937077,italian
irt,50,0.021417740712661115,italian
anchor,50,0.03051554207733137,italian
random,50,0.019537528430629225,italian
irt,50,0.10140257771038669,italian
anchor,50,0.06349507202426075,italian
random,100,0.04046247156937077,italian
irt,100,0.04757391963608787,italian
anchor,100,0.0013267626990143833,italian
random,100,0.06046247156937079,italian
irt,100,0.042645943896891525,italian
anchor,100,0.007391963608794516,italian
random,100,0.09046247156937082,italian
irt,100,0.051364670204700535,italian
anchor,100,0.058946171341925646,italian
random,100,0.09046247156937082,italian
irt,100,0.00018953752843059446,italian
anchor,100,0.018764215314632182,italian
random,100,0.0004624715693707926,italian
irt,100,0.0005686125852918389,italian
anchor,100,0.017626990144048615,italian
random,100,0.0704624715693708,italian
irt,100,0.03089461713419256,italian
anchor,100,0.05288097043214551,italian
random,100,0.10046247156937083,italian
irt,100,0.05250189537528427,italian
anchor,100,0.0009476876421532499,italian
random,100,0.0704624715693708,italian
irt,100,0.017626990144048504,italian
anchor,100,0.07259287338893095,italian
random,100,0.05046247156937078,italian
irt,100,0.010045489006823338,italian
anchor,100,0.03013646702046996,italian
random,100,0.029537528430629234,italian
irt,100,0.0009476876421530833,italian
anchor,100,0.13665655799848375,italian
random,10,0.16046247156937077,dutch
irt,10,0.18176648976497345,dutch
anchor,10,0.3417361637604245,dutch
random,10,0.26046247156937075,dutch
irt,10,0.08965125094768756,dutch
anchor,10,0.035064442759666525,dutch
random,10,0.36046247156937083,dutch
irt,10,0.08396512509476872,dutch
anchor,10,0.028620166793024926,dutch
random,10,0.06046247156937079,dutch
irt,10,0.08017437452615617,dutch
anchor,10,0.06159969673995447,dutch
random,10,0.2395375284306292,dutch
irt,10,0.00852918877937825,dutch
anchor,10,0.08244882486732374,dutch
random,10,0.2395375284306292,dutch
irt,10,0.03316906747536008,dutch
anchor,10,0.0490902198635329,dutch
random,10,0.06046247156937079,dutch
irt,10,0.2598559514783927,dutch
anchor,10,0.342494313874147,dutch
random,10,0.13953752843062922,dutch
irt,10,0.19768764215314633,dutch
anchor,10,0.04529946929492035,dutch
random,10,0.16046247156937077,dutch
irt,10,0.06235784685367707,dutch
anchor,10,0.251516300227445,dutch
random,10,0.13953752843062922,dutch
irt,10,0.04909021986353301,dutch
anchor,10,0.0036012130401819054,dutch
random,15,0.09379580490270412,dutch
irt,15,0.015731614859742282,dutch
anchor,15,0.06273692191053826,dutch
random,15,0.22712913823603742,dutch
irt,15,0.10064442759666414,dutch
anchor,15,0.06576952236542832,dutch
random,15,0.29379580490270407,dutch
irt,15,0.07865807429871119,dutch
anchor,15,0.16887793783169058,dutch
random,15,0.09379580490270412,dutch
irt,15,0.09988627748294165,dutch
anchor,15,0.08169067475360114,dutch
random,15,0.03953752843062919,dutch
irt,15,0.15219863532979527,dutch
anchor,15,0.08889310083396518,dutch
random,15,0.2395375284306292,dutch
irt,15,0.10670962850644428,dutch
anchor,15,0.1957922668688401,dutch
random,15,0.03953752843062919,dutch
irt,15,0.10746777862016677,dutch
anchor,15,0.01686884003032607,dutch
random,15,0.17287086176396255,dutch
irt,15,0.06084154662623198,dutch
anchor,15,0.05591357088703558,dutch
random,15,0.027129138236037464,dutch
irt,15,0.08851402577710388,dutch
