sampling_method,num_examples,accuracy_error,merge
random,10,0.09107910032853161,arithmo_meta_slerp
irt,10,0.10677280768258779,arithmo_meta_slerp
anchor,10,0.06962345211018439,arithmo_meta_slerp
random,10,0.2910791003285317,arithmo_meta_slerp
irt,10,0.22428607530957767,arithmo_meta_slerp
anchor,10,0.07973212029315146,arithmo_meta_slerp
random,10,0.1910791003285317,arithmo_meta_slerp
irt,10,0.1214303765478899,arithmo_meta_slerp
anchor,10,0.19471822087439972,arithmo_meta_slerp
random,10,0.008920899671468363,arithmo_meta_slerp
irt,10,0.019838261309072625,arithmo_meta_slerp
anchor,10,0.013014910285570003,arithmo_meta_slerp
random,10,0.008920899671468363,arithmo_meta_slerp
irt,10,0.07113975233762937,arithmo_meta_slerp
anchor,10,0.035759413697245446,arithmo_meta_slerp
random,10,0.008920899671468363,arithmo_meta_slerp
irt,10,0.30085923679555193,arithmo_meta_slerp
anchor,10,0.10828910791003277,arithmo_meta_slerp
random,10,0.09107910032853161,arithmo_meta_slerp
irt,10,0.12572656052565057,arithmo_meta_slerp
anchor,10,0.12496841041192819,arithmo_meta_slerp
random,10,0.20892089967146832,arithmo_meta_slerp
irt,10,0.18182966894111685,arithmo_meta_slerp
anchor,10,0.022112711650240202,arithmo_meta_slerp
random,10,0.2910791003285317,arithmo_meta_slerp
irt,10,0.26446803133687125,arithmo_meta_slerp
anchor,10,0.09160980540813735,arithmo_meta_slerp
random,10,0.1910791003285317,arithmo_meta_slerp
irt,10,0.009982309830679936,arithmo_meta_slerp
anchor,10,0.1431640131412686,arithmo_meta_slerp
random,15,0.07558756633813501,arithmo_meta_slerp
irt,15,0.15377811473338354,arithmo_meta_slerp
anchor,15,0.3425574930502905,arithmo_meta_slerp
random,15,0.25774576699519836,arithmo_meta_slerp
irt,15,0.062294667677533666,arithmo_meta_slerp
anchor,15,0.040055597675006216,arithmo_meta_slerp
random,15,0.1910791003285317,arithmo_meta_slerp
irt,15,0.04536264847106364,arithmo_meta_slerp
anchor,15,0.1416477129138236,arithmo_meta_slerp
random,15,0.008920899671468363,arithmo_meta_slerp
irt,15,0.13709881223148823,arithmo_meta_slerp
anchor,15,0.2675006317917614,arithmo_meta_slerp
random,15,0.12441243366186494,arithmo_meta_slerp
irt,15,0.231867576446803,arithmo_meta_slerp
anchor,15,0.05294414960828897,arithmo_meta_slerp
random,15,0.008920899671468363,arithmo_meta_slerp
irt,15,0.2326257265605255,arithmo_meta_slerp
anchor,15,0.09009350518069248,arithmo_meta_slerp
random,15,0.008920899671468363,arithmo_meta_slerp
irt,15,0.07872125347485459,arithmo_meta_slerp
anchor,15,0.3220874399797825,arithmo_meta_slerp
random,15,0.20892089967146832,arithmo_meta_slerp
irt,15,0.040813747788728705,arithmo_meta_slerp
anchor,15,0.11738690927470297,arithmo_meta_slerp
random,15,0.05774576699519829,arithmo_meta_slerp
irt,15,0.1590851655294413,arithmo_meta_slerp
anchor,15,0.2242860753095779,arithmo_meta_slerp
random,15,0.12441243366186494,arithmo_meta_slerp
irt,15,0.11966135961587032,arithmo_meta_slerp
anchor,15,0.021859994945665817,arithmo_meta_slerp
random,20,0.10892089967146834,arithmo_meta_slerp
irt,20,0.22125347485468794,arithmo_meta_slerp
anchor,20,0.19244377053323225,arithmo_meta_slerp
random,20,0.24107910032853164,arithmo_meta_slerp
irt,20,0.17197371746272405,arithmo_meta_slerp
anchor,20,0.0857973212029316,arithmo_meta_slerp
random,20,0.14107910032853166,arithmo_meta_slerp
irt,20,0.12067222643416742,arithmo_meta_slerp
anchor,20,0.10070760677280755,arithmo_meta_slerp
random,20,0.008920899671468363,arithmo_meta_slerp
irt,20,0.20154157189790245,arithmo_meta_slerp
anchor,20,0.21670457417235278,arithmo_meta_slerp
random,20,0.14107910032853166,arithmo_meta_slerp
irt,20,0.16515036643922143,arithmo_meta_slerp
anchor,20,0.10247662370482691,arithmo_meta_slerp
random,20,0.058920899671468296,arithmo_meta_slerp
irt,20,0.23414202678797058,arithmo_meta_slerp
anchor,20,0.036517563810967935,arithmo_meta_slerp
random,20,0.04107910032853168,arithmo_meta_slerp
irt,20,0.01882739449077564,arithmo_meta_slerp
anchor,20,0.22276977508213291,arithmo_meta_slerp
random,20,0.058920899671468296,arithmo_meta_slerp
irt,20,0.05066969926712139,arithmo_meta_slerp
anchor,20,0.08630275461207981,arithmo_meta_slerp
random,20,0.09107910032853161,arithmo_meta_slerp
irt,20,0.15453626484710625,arithmo_meta_slerp
anchor,20,0.08023755370229968,arithmo_meta_slerp
