lang,n_samples,accuracy,estimate_method,iter,diff
italian,30,0.4710839685635945,p-IRT,0,0.0048216486242465
romanian,10,0.1896477090976205,p-IRT,2,0.193976248445973
romanian,10,0.0985475260703306,p-IRT,1,0.285076431473263
romanian,15,0.2132561794351026,p-IRT,2,0.1703677781084909
romanian,10,0.1757597277229349,p-IRT,0,0.2078642298206586
romanian,15,0.403636794084469,p-IRT,3,0.0200128365408754
german,100,0.3970370371045386,p-IRT,9,0.0134130795609449
romanian,15,0.497812529365658,p-IRT,1,0.1141885718220644
german,100,0.4398105335996305,p-IRT,8,0.0561865760560368
german,100,0.4460121441583859,p-IRT,7,0.0623881866147922
german,100,0.3526417672229985,p-IRT,6,0.0309821903205951
romanian,15,0.337659086830986,p-IRT,5,0.0459648707126076
german,100,0.4020598546749873,p-IRT,5,0.0184358971313937
romanian,20,0.1645753253149431,p-IRT,5,0.2190486322286505
german,30,0.4605755681392063,p-IRT,9,0.0769516105956126
romanian,15,0.5831809570939355,p-IRT,4,0.1995569995503418
romanian,10,0.4121671300792514,p-IRT,3,0.0285431725356578
romanian,10,0.2247772677346151,p-IRT,4,0.1588466898089785
romanian,15,0.0913550302789509,p-IRT,0,0.2922689272646426
german,50,0.4588032053369572,p-IRT,4,0.0751792477933636
romanian,20,0.3080179088299851,p-IRT,2,0.0756060487136084
german,50,0.4042977064123646,p-IRT,3,0.0206737488687709
romanian,20,0.2711461843922886,p-IRT,3,0.112477773151305
german,50,0.3399429751924527,p-IRT,2,0.0436809823511409
german,50,0.4498387302360058,p-IRT,1,0.0662147726924121
romanian,20,0.3310562788891545,p-IRT,4,0.0525676786544391
german,50,0.3727912982472026,p-IRT,0,0.0108326592963909
romanian,15,0.2903881810413725,p-IRT,7,0.093235776502221
german,100,0.4250063664570743,p-IRT,3,0.0413824089134806
german,100,0.3743834796878169,p-IRT,4,0.0092404778557766
romanian,15,0.331275053589671,p-IRT,6,0.0523489039539226
romanian,10,0.0356206712774945,p-IRT,9,0.3480032862660991
romanian,10,0.1495164887678376,p-IRT,6,0.2341074687757559
romanian,10,0.1033552758474457,p-IRT,5,0.2802686816961479
german,30,0.3707715082618701,p-IRT,8,0.0128524492817234
german,20,0.3581669709920017,p-IRT,4,0.0254569865515919
romanian,30,0.2934453156636613,p-IRT,5,0.0901786418799323
german,20,0.2285434015829727,p-IRT,2,0.1550805559606209
romanian,20,0.3919954944839556,p-IRT,6,0.0083715369403619
german,20,0.525575523497649,p-IRT,5,0.1419515659540554
german,30,0.3279387041548903,p-IRT,7,0.0556852533887032
romanian,20,0.166510361874067,p-IRT,7,0.2171135956695266
german,30,0.4610557110330321,p-IRT,6,0.0774317534894385
german,30,0.5343394073954558,p-IRT,5,0.1507154498518622
romanian,20,0.2830904676499936,p-IRT,8,0.1005334898936
german,30,0.2802445896430278,p-IRT,4,0.1033793679005658
